Date                                    , Status                                  , ProjName                                , BoardDefShortName                       , BoardDefName                            , SynthName                               , ImplName                                , SynthInfo                               , SynthWarnings                           , SynthCritWarnings                       , SynthError                              , ImplInfo                                , ImplWarnings                            , ImplCritWarnings                        , ImplError                               , ImplDRCWarnings                         , ImplDRCError                            , ImplTimingWNS                           , ImplTimingFaildEndpoints                , ImplTimingTNS                           ,
2016-09-16T11:20:49                     , Ok                                      , SOC_V1_ZYNQ                               , ZYNQ720_2if                              , em.avnet.com:ZYNQ720_2if:part0:1.3          , synth_1                                 , impl_1                                  , 540                                     , 207                                     , 0                                       , 0                                       , 55                                      , 3                                       , 0                                       , 0                                       , 1                                       ,  0                                      , 14.760                                  , 0                                       , 0.000                                   ,
2016-09-16T11:26:52                     , Ok                                      , SOC_V1_ZYNQ                               , ZYNQ720_1cr                              , em.avnet.com:ZYNQ720_1cr:part0:1.3          , synth_1                                 , impl_1                                  , 540                                     , 207                                     , 0                                       , 0                                       , 56                                      , 3                                       , 0                                       , 0                                       , 1                                       ,  0                                      , 13.491                                  , 0                                       , 0.000                                   ,
2016-09-16T11:32:52                     , Ok                                      , SOC_V1_ZYNQ                               , ZYNQ720_1qf                              , em.avnet.com:ZYNQ720_1qf:part0:1.3          , synth_1                                 , impl_1                                  , 540                                     , 207                                     , 0                                       , 0                                       , 56                                      , 3                                       , 0                                       , 0                                       , 1                                       ,  0                                      , 13.547                                  , 0                                       , 0.000                                   ,
2016-09-16T11:38:42                     , Ok                                      , SOC_V1_ZYNQ                               , ZYNQ720_l1if                             , em.avnet.com:ZYNQ720_l1if:part0:1.3         , synth_1                                 , impl_1                                  , 540                                     , 207                                     , 0                                       , 0                                       , 56                                      , 3                                       , 0                                       , 0                                       , 1                                       ,  0                                      , 13.491                                  , 0                                       , 0.000                                   ,
2016-09-16T11:44:34                     , Ok                                      , SOC_V1_ZYNQ                               , zed                              , em.avnet.com:zed:part0:1.3          , synth_1                                 , impl_1                                  , 540                                     , 207                                     , 0                                       , 0                                       , 56                                      , 3                                       , 0                                       , 0                                       , 1                                       ,  0                                      , 13.491                                  , 0                                       , 0.000                                   ,
2016-09-16T11:50:26                     , Ok                                      , SOC_V1_ZYNQ                               , ZYNQ720_2ef                              , em.avnet.com:ZYNQ720_2ef:part0:1.3          , synth_1                                 , impl_1                                  , 540                                     , 207                                     , 0                                       , 0                                       , 55                                      , 3                                       , 0                                       , 0                                       , 1                                       ,  0                                      , 14.760                                  , 0                                       , 0.000                                   ,
2016-10-07T10:01:10                     , Ok                                      , SOC_V1_ZYNQ                               , ZYNQ720_2if                              , em.avnet.com:ZYNQ720_2if:part0:1.3          , synth_1                                 , impl_1                                  , 540                                     , 207                                     , 0                                       , 0                                       , 55                                      , 3                                       , 0                                       , 0                                       , 1                                       ,  0                                      , 14.760                                  , 0                                       , 0.000                                   ,
2016-10-07T10:07:59                     , Ok                                      , SOC_V1_ZYNQ                               , ZYNQ720_1cr                              , em.avnet.com:ZYNQ720_1cr:part0:1.3          , synth_1                                 , impl_1                                  , 540                                     , 207                                     , 0                                       , 0                                       , 56                                      , 3                                       , 0                                       , 0                                       , 1                                       ,  0                                      , 13.491                                  , 0                                       , 0.000                                   ,
2016-10-07T10:13:47                     , Ok                                      , SOC_V1_ZYNQ                               , ZYNQ720_1qf                              , em.avnet.com:ZYNQ720_1qf:part0:1.3          , synth_1                                 , impl_1                                  , 540                                     , 207                                     , 0                                       , 0                                       , 56                                      , 3                                       , 0                                       , 0                                       , 1                                       ,  0                                      , 13.547                                  , 0                                       , 0.000                                   ,
2016-10-07T10:19:34                     , Ok                                      , SOC_V1_ZYNQ                               , ZYNQ720_l1if                             , em.avnet.com:ZYNQ720_l1if:part0:1.3         , synth_1                                 , impl_1                                  , 540                                     , 207                                     , 0                                       , 0                                       , 56                                      , 3                                       , 0                                       , 0                                       , 1                                       ,  0                                      , 13.491                                  , 0                                       , 0.000                                   ,
2016-10-07T10:25:23                     , Ok                                      , SOC_V1_ZYNQ                               , zed                              , em.avnet.com:zed:part0:1.3          , synth_1                                 , impl_1                                  , 540                                     , 207                                     , 0                                       , 0                                       , 56                                      , 3                                       , 0                                       , 0                                       , 1                                       ,  0                                      , 13.491                                  , 0                                       , 0.000                                   ,
2016-10-07T10:31:50                     , Ok                                      , SOC_V1_ZYNQ                               , ZYNQ720_2ef                              , em.avnet.com:ZYNQ720_2ef:part0:1.3          , synth_1                                 , impl_1                                  , 540                                     , 207                                     , 0                                       , 0                                       , 55                                      , 3                                       , 0                                       , 0                                       , 1                                       ,  0                                      , 14.760                                  , 0                                       , 0.000                                   ,
2017-04-26T00:04:04                     , Ok                                      , ZYNQ_R                                  , zed                                     , em.avnet.com:zed:part0:1.3              , synth_1                                 , impl_1                                  , 68                                      , 23                                      , 0                                       , 0                                       , 14                                      , 1                                       , 0                                       , 0                                       , 1                                       ,  0                                      , 12.528                                  , 0                                       , 0.000                                   ,
